Ten-Year Age Groups,Ten-Year Age Groups Code,ICD Chapter,ICD Chapter Code,Year,Year Code,Deaths,Population,Crude Rate
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,1999,1999,562,3795762,14.8
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2000,2000,510,3805648,13.4
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2001,2001,563,4012658,14
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2002,2002,582,3951461,14.7
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2003,2003,494,3975871,12.4
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2004,2004,480,4014258,12
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2005,2005,530,4004393,13.2
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2006,2006,479,4041738,11.9
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2007,2007,482,4147997,11.6
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2008,2008,478,4132735,11.6
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2009,2009,730,4003587,18.2
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2010,2010,696,3944153,17.6
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2011,2011,561,3996537,14
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2012,2012,564,3943077,14.3
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2013,2013,516,3941783,13.1
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2014,2014,547,3948350,13.9
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2015,2015,563,3978038,14.2
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2016,2016,564,3970145,14.2
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2017,2017,515,3939295,13.1
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2018,2018,504,3848208,13.1
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2019,2019,519,3783052,13.7
< 1 year,1,Certain infectious and parasitic diseases,A00-B99,2020,2020,395,3735010,10.6
< 1 year,1,Neoplasms,C00-D48,1999,1999,126,3795762,3.3
< 1 year,1,Neoplasms,C00-D48,2000,2000,152,3805648,4
< 1 year,1,Neoplasms,C00-D48,2001,2001,117,4012658,2.9
< 1 year,1,Neoplasms,C00-D48,2002,2002,143,3951461,3.6
< 1 year,1,Neoplasms,C00-D48,2003,2003,137,3975871,3.4
< 1 year,1,Neoplasms,C00-D48,2004,2004,145,4014258,3.6
< 1 year,1,Neoplasms,C00-D48,2005,2005,134,4004393,3.3
< 1 year,1,Neoplasms,C00-D48,2006,2006,141,4041738,3.5
< 1 year,1,Neoplasms,C00-D48,2007,2007,131,4147997,3.2
< 1 year,1,Neoplasms,C00-D48,2008,2008,131,4132735,3.2
< 1 year,1,Neoplasms,C00-D48,2009,2009,136,4003587,3.4
< 1 year,1,Neoplasms,C00-D48,2010,2010,110,3944153,2.8
< 1 year,1,Neoplasms,C00-D48,2011,2011,124,3996537,3.1
< 1 year,1,Neoplasms,C00-D48,2012,2012,117,3943077,3
< 1 year,1,Neoplasms,C00-D48,2013,2013,116,3941783,2.9
< 1 year,1,Neoplasms,C00-D48,2014,2014,103,3948350,2.6
< 1 year,1,Neoplasms,C00-D48,2015,2015,100,3978038,2.5
< 1 year,1,Neoplasms,C00-D48,2016,2016,120,3970145,3
< 1 year,1,Neoplasms,C00-D48,2017,2017,98,3939295,2.5
< 1 year,1,Neoplasms,C00-D48,2018,2018,92,3848208,2.4
< 1 year,1,Neoplasms,C00-D48,2019,2019,97,3783052,2.6
< 1 year,1,Neoplasms,C00-D48,2020,2020,93,3735010,2.5
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1999,1999,94,3795762,2.5
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2000,2000,70,3805648,1.8
< 1 year,1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2001,2001,106,4012658,2.6
